pktiat_0,pktiat_1,pktiat_2,pktiat_3,pktiat_4,pktiat_5,pktiat_6,pktiat_7,pktiat_8,pktiat_9,type
0.0,0.003896951675415039,0.005287885665893555,3.719329833984375e-05,2.47955322265625e-05,1.5020370483398438e-05,1.3113021850585938e-05,0.0001380443572998047,1.7881393432617188e-05,0.003036975860595703,1
0.0,0.00704193115234375,0.0003230571746826172,4.1961669921875e-05,1.3113021850585938e-05,1.0013580322265625e-05,0.00020599365234375,0.0005099773406982422,0.00018095970153808594,0.003134012222290039,1
0.0,0.006889820098876953,0.0003211498260498047,3.600120544433594e-05,1.5974044799804688e-05,1.2874603271484375e-05,0.00019121170043945312,0.0008687973022460938,0.00019812583923339844,0.0030150413513183594,1
0.0,0.004396200180053711,0.0008029937744140625,2.5987625122070312e-05,8.821487426757812e-06,1.9073486328125e-05,0.0001881122589111328,0.0016238689422607422,0.0001671314239501953,0.0029649734497070312,1
0.0,0.007155895233154297,0.00023508071899414062,2.288818359375e-05,1.1205673217773438e-05,2.288818359375e-05,0.0001399517059326172,0.0008330345153808594,0.00014209747314453125,0.0026040077209472656,1
0.0,0.006879091262817383,0.00030493736267089844,2.193450927734375e-05,8.106231689453125e-06,2.002716064453125e-05,0.00015497207641601562,0.0006918907165527344,0.00013709068298339844,0.0035550594329833984,1
0.0,0.00704503059387207,0.0004730224609375,3.695487976074219e-05,1.0967254638671875e-05,2.5033950805664062e-05,0.00021982192993164062,0.0010111331939697266,0.00033402442932128906,0.002959012985229492,1
0.0,0.007436990737915039,0.00021386146545410156,2.002716064453125e-05,2.5033950805664062e-05,9.059906005859375e-06,0.00015091896057128906,0.0017650127410888672,0.00020813941955566406,0.0032279491424560547,1
0.0,0.002413034439086914,0.0004749298095703125,3.1948089599609375e-05,1.1205673217773438e-05,0.00011181831359863281,2.3126602172851562e-05,0.0001399517059326172,0.0007140636444091797,0.00013494491577148438,1
0.0,0.007052898406982422,0.0002791881561279297,2.193450927734375e-05,2.5033950805664062e-05,1.0967254638671875e-05,0.00013494491577148438,0.0006189346313476562,9.918212890625e-05,0.002641916275024414,1
0.0,0.007255077362060547,0.0004069805145263672,2.6941299438476562e-05,1.1205673217773438e-05,1.7881393432617188e-05,0.0001990795135498047,0.0012898445129394531,0.0002951622009277344,0.003229856491088867,1
0.0,0.0069539546966552734,0.0004761219024658203,1.9073486328125e-05,2.288818359375e-05,9.059906005859375e-06,0.0002429485321044922,0.00121307373046875,0.0002460479736328125,0.0026788711547851562,1
0.0,0.06412696838378906,0.0002448558807373047,3.504753112792969e-05,1.0013580322265625e-05,1.5974044799804688e-05,0.00010704994201660156,3.0994415283203125e-05,0.0008690357208251953,0.0001590251922607422,1
0.0,0.004291057586669922,0.0004169940948486328,2.7894973754882812e-05,2.8133392333984375e-05,1.1920928955078125e-05,0.00014901161193847656,0.0013620853424072266,0.00012993812561035156,0.003081083297729492,1
