src_ip;sport;dst_ip;dport;proto;packets_count;start_time;end_time;duration;total_fiat;total_biat;iat_list;direction_list;pkt_len_list;f_pkts_num;b_pkts_num;min_fiat;max_fiat;min_biat;max_biat;mean_fiat;mean_biat;flow_packets_per_second;flow_bytes_per_second;f_min_pkt_size;f_max_pkt_size;f_mean_pkt_size;b_min_pkt_size;b_max_pkt_size;b_mean_pkt_size;is_closed;last_packet_time;diag_fiat;diag_step_fiat;diag_biat;diag_step_biat;diag_total;diag_steps;tcp_syn_count;tcp_ack_count;tcp_rst_count;tcp_psh_count;tcp_fin_count;tcp_urg_count;tcp_retr_count;ip_ttl_list;tcp_win_list;f_iat_list;b_iat_list;tcp_hs_skipped;entropy_list
10.34.1.22;38790;141.8.180.143;443;6;10;1690448189.015452;1690448249.109283;60.093831062316895;0.0270519256591796;0.0036370754241943;0.0,0.011079788208007812,0.0008220672607421875,9.107589721679688e-05,3.504753112792969e-05,0.0006399154663085938,0.002048969268798828,0.0008890628814697266,0.010550975799560547,0.0008950233459472656;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0008950233459472;0.0126678943634033;3.504753112792969e-05;0.0026888847351074;0.0067629814147949;0.0009092688560485;0;119;66;1434;459.0;66;1462;974.8;True;1690448249.109283;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,54,54,54,54,64,54,64,64,64;502,11,11,11,11,489,11,501,501,501;0.01266789436340332,0.0029380321502685547,0.010550975799560547,0.0008950233459472656;0.0008220672607421875,9.107589721679688e-05,3.504753112792969e-05,0.002688884735107422;True;5.992662034987096,0.0,5.959673431958629,6.308758439731466,6.283856189774735,0.0,6.14120956470983,0.0,5.818619813556228,6.356307314753101
10.34.1.22;51054;141.8.156.20;443;6;10;1690448132.284033;1690448253.632027;121.347993850708;0.024440050125122;0.0238289833068847;0.0,0.005387067794799805,0.0019540786743164062,8.893013000488281e-05,3.695487976074219e-05,6.794929504394531e-05,0.000698089599609375,0.015568971633911133,0.0006380081176757812,0.0047760009765625;1,-1,-1,-1,-1,-1,1,1,1,-1;583,66,1462,1462,1462,197,66,159,706,356;4;6;0.0006380081176757;0.0155689716339111;3.695487976074219e-05;0.0216810703277587;0.0081466833750406;0.0047657966613769;0;53;66;706;378.5;66;1462;834.1666666666666;True;1690448253.632027;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;5;0;0;10;64,54,54,54,54,54,64,64,64,54;502,11,11,11,11,11,484,501,501,11;0.008233070373535156,0.015568971633911133,0.0006380081176757812;0.0019540786743164062,8.893013000488281e-05,3.695487976074219e-05,6.794929504394531e-05,0.02168107032775879;True;5.996565630242728,0.0,4.882580393449109,6.081209564709829,6.296307314753101,6.343856189774735,0.0,5.6534558128034655,6.0563073147531,6.219792470209069
10.34.1.22;33012;5.45.236.213;443;6;10;1690448204.292247;1690448264.368904;60.07665705680847;0.0212478637695312;0.0012969970703125;0.0,0.007817983627319336,0.00041294097900390625,0.00010991096496582031,3.504753112792969e-05,0.0005650520324707031,0.00017404556274414062,0.0005440711975097656,0.010811805725097656,0.0007770061492919922;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0007181167602539;0.0108118057250976;3.504753112792969e-05;0.0007390975952148;0.0053119659423828;0.0003242492675781;0;119;66;1434;459.0;66;1462;974.8;True;1690448264.368904;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,55,55,55,55,64,55,64,64,64;502,11,11,11,11,489,11,501,501,501;0.008940935134887695,0.0007181167602539062,0.010811805725097656,0.0007770061492919922;0.00041294097900390625,0.00010991096496582031,3.504753112792969e-05,0.0007390975952148438;True;5.9451131599654605,0.0,5.832124556936993,6.3763073147531015,6.3363073147531015,0.0,6.368758439731467,0.0,6.046928094887358,6.303856189774736
10.34.1.22;57756;141.8.157.80;443;6;10;1690448147.613724;1690448268.819472;121.20574808120728;0.0205051898956298;0.0020060539245605;0.0,0.005511045455932617,0.0017549991607666016,0.00010704994201660156,5.1021575927734375e-05,9.298324584960938e-05,0.0006649494171142578,0.00010013580322265625,0.011120796203613281,0.0011022090911865234;1,-1,-1,-1,-1,-1,1,1,1,1;583,66,1464,1464,1462,193,66,66,159,705;5;5;0.0001001358032226;0.0111207962036132;5.1021575927734375e-05;0.0017549991607666;0.0051262974739074;0.0005015134811401;0;51;66;705;315.8;66;1464;929.8;True;1690448268.819472;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,54,54,54,54,54,64,64,64,64;502,11,11,11,11,11,489,489,501,501;0.008182048797607422,0.00010013580322265625,0.011120796203613281,0.0011022090911865234;0.0017549991607666016,0.00010704994201660156,5.1021575927734375e-05,9.298324584960938e-05;True;5.8273687848572875,0.0,4.915031518427474,6.081209564709829,6.268758439731466,6.248758439731466,0.0,0.0,5.524423554738951,6.199792470209069
10.34.1.22;58284;77.88.33.186;443;6;10;1690448218.544335;1690448278.614912;60.0705771446228;0.0205588340759277;0.0017189979553222;0.0,0.007570981979370117,0.0004658699035644531,8.797645568847656e-05,4.696846008300781e-05,0.0005571842193603516,0.0005609989166259766,0.0006020069122314453,0.01003885269165039,0.0006279945373535156;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1464,1464,1366,66,514,66,146,1434;5;5;0.0006279945373535;0.0100388526916503;4.696846008300781e-05;0.0011181831359863;0.0051397085189819;0.0004297494888305;0;119;66;1434;459.0;66;1464;974.8;True;1690448278.614912;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,54,54,54,54,64,54,64,64,64;502,11,11,11,11,489,11,501,501,501;0.008728981018066406,0.0011630058288574219,0.01003885269165039,0.0006279945373535156;0.0004658699035644531,8.797645568847656e-05,4.696846008300781e-05,0.0011181831359863281;True;5.852920350476723,0.0,5.812124556936992,6.243856189774735,6.208758439731465,0.0,6.261209564709831,0.0,6.0030559073332705,6.3563073147531
10.34.1.22;34024;141.8.156.41;443;6;10;1690448163.064814;1690448284.595731;121.530916929245;0.0080828666687011;0.0021178722381591;0.0,0.005316019058227539,0.0018138885498046875,0.00010800361633300781,5.793571472167969e-05,8.106231689453125e-05,5.698204040527344e-05,0.0004889965057373047,0.00010395050048828125,5.602836608886719e-05;1,-1,-1,-1,-1,-1,-1,1,1,1;583,66,1464,1462,1462,70,191,66,66,66;4;6;5.602836608886719e-05;0.007922887802124;5.698204040527344e-05;0.0018138885498046;0.002694288889567;0.0004235744476318;0;45;66;583;195.25;66;1464;785.8333333333334;True;1690448284.595731;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;2;0;0;10;64,54,54,54,54,54,54,64,64,64;502,11,11,11,11,11,11,496,486,486;0.007922887802124023,0.00010395050048828125,5.602836608886719e-05;0.0018138885498046875,0.00010800361633300781,5.793571472167969e-05,8.106231689453125e-05,5.698204040527344e-05;True;5.941467880199458,0.0,4.802580393449107,6.081209564709829,6.288758439731467,2.0,6.168758439731465,0.0,0.0,0.0
10.34.1.22;54586;141.8.179.147;443;6;10;1690448232.729813;1690448292.820379;60.0905659198761;0.0084462165832519;0.0023519992828369;0.0,0.0054171085357666016,0.00048089027404785156,9.703636169433594e-05,9.107589721679688e-05,5.602836608886719e-05,0.0004730224609375,0.00017189979553222656,0.000982046127319336,0.0006771087646484375;1,-1,-1,-1,-1,-1,1,1,-1,1;583,66,1462,1462,70,1366,66,66,514,66;4;6;0.0001718997955322;0.0066151618957519;5.602836608886719e-05;0.001626968383789;0.0028154055277506;0.0004703998565673;0;95;66;583;195.25;66;1462;823.3333333333334;True;1690448292.820379;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;3;0;0;10;64,55,55,55,55,55,64,64,55,64;502,11,11,11,11,11,493,485,11,501;0.006615161895751953,0.00017189979553222656,0.0016591548919677734;0.00048089027404785156,9.703636169433594e-05,9.107589721679688e-05,5.602836608886719e-05,0.0016269683837890625;True;5.9326620349870955,0.0,5.754917659878923,6.356307314753101,2.0,6.213660689688195,0.0,0.0,6.376307314753102,0.0
10.34.1.22;35750;141.8.156.8;443;6;10;1690448177.318214;1690448298.203504;120.88529014587402;0.0079579353332519;0.0020239353179931;0.0,0.00515294075012207,0.001795053482055664,0.000102996826171875,3.504753112792969e-05,6.389617919921875e-05,2.6941299438476562e-05,0.0006401538848876953,8.988380432128906e-05,5.1021575927734375e-05;1,-1,-1,-1,-1,-1,-1,1,1,1;583,66,1464,1462,1462,70,191,66,66,66;4;6;5.1021575927734375e-05;0.0078170299530029;2.694129943847656e-05;0.0017950534820556;0.0026526451110839;0.0004047870635986;0;45;66;583;195.25;66;1464;785.8333333333334;True;1690448298.203504;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;2;0;0;10;64,54,54,54,54,54,54,64,64,64;502,11,11,11,11,11,11,496,486,486;0.00781702995300293,8.988380432128906e-05,5.1021575927734375e-05;0.001795053482055664,0.000102996826171875,3.504753112792969e-05,6.389617919921875e-05,2.6941299438476562e-05;True;5.932662034987095,0.0,4.846644113014776,6.081209564709829,6.288758439731467,2.0,6.2287584397314655,0.0,0.0,0.0
10.34.1.22;53412;141.8.129.189;443;6;10;1690448247.137916;1690448307.227532;60.08961582183838;0.022892951965332;0.0032260417938232;0.0,0.007771015167236328,0.0007259845733642578,0.00015306472778320312,4.291534423828125e-05,0.0006699562072753906,0.0016341209411621094,0.0009489059448242188,0.009963035583496094,0.0009839534759521484;1,-1,-1,-1,-1,1,-1,1,1,1;583,66,1462,1462,1370,66,514,66,146,1434;5;5;0.0009839534759521;0.009963035583496;4.291534423828125e-05;0.0023040771484375;0.005723237991333;0.0008065104484558;0;119;66;1434;459.0;66;1462;974.8;True;1690448307.227532;4,0,0,0,0,0,0,0,0,0;28.767490005493165;4,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;4;0;0;10;64,55,55,55,55,64,55,64,64,64;502,11,11,11,11,489,11,501,501,501;0.009362936019897461,0.002583026885986328,0.009963035583496094,0.0009839534759521484;0.0007259845733642578,0.00015306472778320312,4.291534423828125e-05,0.0023040771484375;True;5.9690167552210935,0.0,5.840672086659727,6.383856189774735,6.276307314753101,0.0,6.2563073147531005,0.0,5.953055907333272,6.073660689688195
10.34.1.22;33086;37.9.68.217;443;6;10;1690448192.736334;1690448313.772194;121.03585982322691;0.019320011138916;0.0190038681030273;0.0,0.010280132293701172,0.0031838417053222656,7.605552673339844e-05,2.9087066650390625e-05,3.790855407714844e-05,0.0003731250762939453,0.004951000213623047,0.00038886070251464844,0.0099639892578125;1,-1,-1,-1,-1,-1,1,1,1,-1;583,66,1462,1462,1462,197,66,159,708,356;4;6;0.0003888607025146;0.0139801502227783;2.9087066650390625e-05;0.0156769752502441;0.006440003712972;0.0038007736206054;0;53;66;708;379.0;66;1462;834.1666666666666;True;1690448313.772194;3,0,0,0,0,0,0,0,0,0;28.767490005493165;5,0,0,0,0,0,0,0,0,0;28.76754169464112;8,0,0,0,0,0,0,0,0,0;28.76754169464112;0;10;0;5;0;0;10;64,55,55,55,55,55,64,64,64,55;502,11,11,11,11,11,484,501,501,11;0.01398015022277832,0.004951000213623047,0.00038886070251464844;0.0031838417053222656,7.605552673339844e-05,2.9087066650390625e-05,3.790855407714844e-05,0.01567697525024414;True;5.936565630242727,0.0,4.81332621956002,6.081209564709829,6.296307314753101,6.2963073147531015,0.0,5.580822613855472,6.179792470209069,6.1602109100087326
