proto,packets_count,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,b_max_pkt_size,b_mean_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_3,pktiat_4,pktiat_7,pktiat_8,pktiat_9,pktlen_1,pktlen_8,type
6,10,4,1.7881393432617188e-05,1.3113021850585938e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.003896951675415039,0.005287885665893555,3.719329833984375e-05,2.47955322265625e-05,0.0001380443572998047,1.7881393432617188e-05,0.003036975860595703,66,66,1
6,10,4,0.0006909370422363,1.0013580322265623e-05,1,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.00704193115234375,0.0003230571746826172,4.1961669921875e-05,1.3113021850585938e-05,0.0005099773406982422,0.00018095970153808594,0.003134012222290039,66,66,1
6,10,4,0.0010669231414794,1.2874603271484377e-05,1,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.006889820098876953,0.0003211498260498047,3.600120544433594e-05,1.5974044799804688e-05,0.0008687973022460938,0.00019812583923339844,0.0030150413513183594,66,66,1
6,10,4,0.0017910003662109,8.821487426757812e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.004396200180053711,0.0008029937744140625,2.5987625122070312e-05,8.821487426757812e-06,0.0016238689422607422,0.0001671314239501953,0.0029649734497070312,66,66,1
6,10,4,0.0009751319885253,1.1205673217773438e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007155895233154297,0.00023508071899414062,2.288818359375e-05,1.1205673217773438e-05,0.0008330345153808594,0.00014209747314453125,0.0026040077209472656,66,66,1
6,10,4,0.0008289813995361,8.106231689453125e-06,1,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.006879091262817383,0.00030493736267089844,2.193450927734375e-05,8.106231689453125e-06,0.0006918907165527344,0.00013709068298339844,0.0035550594329833984,66,66,1
6,10,4,0.001345157623291,1.0967254638671877e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.00704503059387207,0.0004730224609375,3.695487976074219e-05,1.0967254638671875e-05,0.0010111331939697266,0.00033402442932128906,0.002959012985229492,66,66,1
6,10,4,0.0019731521606445,9.059906005859377e-06,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007436990737915039,0.00021386146545410156,2.002716064453125e-05,2.5033950805664062e-05,0.0017650127410888672,0.00020813941955566406,0.0032279491424560547,66,66,1
6,10,4,0.0001399517059326,1.1205673217773438e-05,0,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.002413034439086914,0.0004749298095703125,3.1948089599609375e-05,1.1205673217773438e-05,0.0001399517059326172,0.0007140636444091797,0.00013494491577148438,66,514,1
6,10,4,0.0007181167602539,1.0967254638671877e-05,1,66,583,66,1414,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007052898406982422,0.0002791881561279297,2.193450927734375e-05,2.5033950805664062e-05,0.0006189346313476562,9.918212890625e-05,0.002641916275024414,66,66,1
