proto,packets_count,total_fiat,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_7,pktiat_9,pktlen_1,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
6,10,0.0085070133209228,5,0.0002110004425048,1.2874603271484377e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038299560546875,7.390975952148438e-05,0.0002560615539550781,0.0037970542907714844,66,1368,66,461,66,146,0
6,10,0.0087239742279052,4,0.000615119934082,2.002716064453125e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003909111022949219,0.0002238750457763672,0.00012493133544921875,0.0038781166076660156,66,66,461,66,146,66,0
6,10,0.005415916442871,4,2.09808349609375e-05,6.9141387939453125e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003866910934448242,0.0003380775451660156,2.09808349609375e-05,0.000225067138671875,66,1366,66,66,461,66,0
6,10,0.0059549808502197,4,2.09808349609375e-05,2.002716064453125e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036041736602783203,0.00031280517578125,2.09808349609375e-05,0.001191854476928711,66,1366,66,66,461,66,0
6,10,0.0050039291381835,4,2.288818359375e-05,1.3113021850585938e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003724813461303711,0.0003299713134765625,2.288818359375e-05,0.00011110305786132812,66,1366,66,66,461,66,0
6,10,0.0045850276947021,4,8.106231689453125e-05,7.867813110351562e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036170482635498047,0.00020503997802734375,8.106231689453125e-05,0.00019788742065429688,66,1366,66,66,461,66,0
6,10,0.0100929737091064,4,0.0008020401000976,1.7881393432617188e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037310123443603516,0.00024700164794921875,0.00023603439331054688,0.0037500858306884766,66,66,461,66,146,66,0
6,10,0.009016990661621,4,0.0008769035339355,1.3828277587890623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0039038658142089844,0.0005481243133544922,0.0002589225769042969,0.0036568641662597656,66,66,461,66,146,66,0
6,10,0.0083739757537841,4,0.0006728172302246,7.867813110351562e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003899097442626953,0.0002830028533935547,0.00017380714416503906,0.003662109375,66,66,461,66,146,66,0
6,10,0.013916015625,4,0.0004830360412597,1.0013580322265623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003871917724609375,0.00027108192443847656,9.703636169433594e-05,0.0035610198974609375,66,66,461,66,146,66,0
6,10,0.0088210105895996,5,0.0001969337463378,1.1920928955078123e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004231929779052734,3.409385681152344e-05,0.0006220340728759766,0.0033979415893554688,66,1368,66,461,66,146,0
6,10,0.0047318935394287,4,2.9087066650390625e-05,1.0967254638671877e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036029815673828125,0.0003609657287597656,2.9087066650390625e-05,0.0001609325408935547,66,1366,66,66,461,66,0
6,10,0.1740942001342773,5,0.0003890991210937,8.106231689453125e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003692150115966797,0.0003418922424316406,8.106231689453125e-05,0.16564202308654785,66,66,393,128,66,164,0
6,10,0.2359380722045898,5,0.0003190040588378,8.106231689453125e-06,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004348039627075195,3.504753112792969e-05,8.106231689453125e-06,0.22472214698791504,66,66,393,128,66,164,0
