proto,packets_count,total_fiat,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,b_min_pkt_size,b_max_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_psh_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_4,pktiat_5,pktiat_7,pktiat_9,pktlen_0,pktlen_1,pktlen_4,pktlen_6,pktlen_8,type
6,10,0.0212471485137939,5,0.0007340908050537,3.600120544433594e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.007969141006469727,0.0004379749298095703,3.600120544433594e-05,0.0005748271942138672,0.0006020069122314453,0.0007340908050537109,583,66,1370,514,146,2
6,10,0.0230200290679931,5,0.0008461475372314,3.600120544433594e-05,0,66,66,1464,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.007657051086425781,0.0008859634399414062,3.600120544433594e-05,0.0006239414215087891,0.0006761550903320312,0.0008461475372314453,583,66,1366,514,146,2
6,10,0.0272819995880126,5,0.0007059574127197,6.29425048828125e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.008094072341918945,0.0008480548858642578,6.29425048828125e-05,0.0005829334259033203,0.0006091594696044922,0.0007059574127197266,583,66,1370,514,146,2
6,10,0.0257139205932617,5,0.0008919239044189,4.00543212890625e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.009829044342041016,0.0009648799896240234,4.00543212890625e-05,0.0005490779876708984,0.0007579326629638672,0.0008919239044189453,583,66,1370,514,146,2
6,10,0.0100328922271728,4,3.504753112792969e-05,1.2159347534179688e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,3,0,0,10,0.0,0.007707834243774414,0.0005261898040771484,1.5020370483398438e-05,1.2159347534179688e-05,3.504753112792969e-05,0.00030803680419921875,583,66,70,66,514,2
6,10,0.0127589702606201,4,0.0002799034118652,2.5987625122070312e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,5,0,0,10,0.0,0.00527191162109375,0.002275228500366211,2.5987625122070312e-05,4.1961669921875e-05,0.004358053207397461,0.00499415397644043,583,66,1462,66,706,2
6,10,0.0161700248718261,5,0.0004541873931884,3.3855438232421875e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.007618904113769531,0.0006439685821533203,3.3855438232421875e-05,0.00041103363037109375,0.0003609657287597656,0.00045418739318847656,583,66,1370,514,146,2
6,10,0.0193309783935546,4,0.0008249282836914,3.0040740966796875e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,5,0,0,10,0.0,0.005635976791381836,0.0018808841705322266,7.891654968261719e-05,3.0040740966796875e-05,0.010154962539672852,0.004853010177612305,583,66,1462,66,706,2
6,10,0.0279140472412109,5,0.0009810924530029,5.197525024414063e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.011784076690673828,0.0008878707885742188,5.1975250244140625e-05,0.0005841255187988281,0.000614166259765625,0.0009810924530029297,583,66,1370,514,146,2
6,10,0.0199668407440185,4,0.0005979537963867,2.8848648071289062e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,5,0,0,10,0.0,0.006036996841430664,0.0017979145050048828,3.314018249511719e-05,2.8848648071289062e-05,0.01058197021484375,0.005178213119506836,583,66,1462,66,706,2
6,10,0.0270519256591796,5,0.0008950233459472,3.504753112792969e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.011079788208007812,0.0008220672607421875,3.504753112792969e-05,0.0006399154663085938,0.0008890628814697266,0.0008950233459472656,583,66,1370,514,146,2
6,10,0.024440050125122,4,0.0006380081176757,3.695487976074219e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,5,0,0,10,0.0,0.005387067794799805,0.0019540786743164062,3.695487976074219e-05,6.794929504394531e-05,0.015568971633911133,0.0047760009765625,583,66,1462,66,706,2
6,10,0.0212478637695312,5,0.0007181167602539,3.504753112792969e-05,0,66,66,1462,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.007817983627319336,0.00041294097900390625,3.504753112792969e-05,0.0005650520324707031,0.0005440711975097656,0.0007770061492919922,583,66,1370,514,146,2
6,10,0.0205051898956298,5,0.0001001358032226,5.1021575927734375e-05,0,66,66,1464,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.005511045455932617,0.0017549991607666016,5.1021575927734375e-05,9.298324584960938e-05,0.00010013580322265625,0.0011022090911865234,583,66,1462,66,159,2
6,10,0.0205588340759277,5,0.0006279945373535,4.696846008300781e-05,0,66,66,1464,28.767490005493165,28.76754169464112,28.76754169464112,0,10,0,4,0,0,10,0.0,0.007570981979370117,0.0004658699035644531,4.696846008300781e-05,0.0005571842193603516,0.0006020069122314453,0.0006279945373535156,583,66,1366,514,146,2
