proto,packets_count,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,b_max_pkt_size,b_mean_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_3,pktiat_4,pktiat_7,pktiat_8,pktiat_9,pktlen_1,pktlen_8,type,total_fiat,pktlen_5,pktlen_6,pktlen_7,pktlen_9,tcp_psh_count,pktiat_5,pktlen_0,pktlen_4
6,10,4,1.7881393432617188e-05,1.3113021850585938e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.003896951675415,0.0052878856658935,3.719329833984375e-05,2.47955322265625e-05,0.0001380443572998,1.7881393432617188e-05,0.0030369758605957,66,66,1,,,,,,,,,
6,10,4,0.0006909370422363,1.0013580322265623e-05,1,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0070419311523437,0.0003230571746826,4.1961669921875e-05,1.3113021850585938e-05,0.0005099773406982,0.000180959701538,0.00313401222229,66,66,1,,,,,,,,,
6,10,4,0.0010669231414794,1.2874603271484377e-05,1,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0068898200988769,0.0003211498260498,3.600120544433594e-05,1.5974044799804688e-05,0.000868797302246,0.0001981258392333,0.0030150413513183,66,66,1,,,,,,,,,
6,10,4,0.0017910003662109,8.821487426757812e-06,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0043962001800537,0.000802993774414,2.5987625122070312e-05,8.821487426757812e-06,0.0016238689422607,0.0001671314239501,0.002964973449707,66,66,1,,,,,,,,,
6,10,4,0.0009751319885253,1.1205673217773438e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0071558952331542,0.0002350807189941,2.288818359375e-05,1.1205673217773438e-05,0.0008330345153808,0.0001420974731445,0.0026040077209472,66,66,1,,,,,,,,,
6,10,4,0.0008289813995361,8.106231689453125e-06,1,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0068790912628173,0.0003049373626708,2.193450927734375e-05,8.106231689453125e-06,0.0006918907165527,0.0001370906829833,0.0035550594329833,66,66,1,,,,,,,,,
6,10,4,0.001345157623291,1.0967254638671877e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007045030593872,0.0004730224609375,3.695487976074219e-05,1.0967254638671877e-05,0.0010111331939697,0.0003340244293212,0.0029590129852294,66,66,1,,,,,,,,,
6,10,4,0.0019731521606445,9.059906005859377e-06,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.007436990737915,0.0002138614654541,2.002716064453125e-05,2.5033950805664062e-05,0.0017650127410888,0.0002081394195556,0.003227949142456,66,66,1,,,,,,,,,
6,10,4,0.0001399517059326,1.1205673217773438e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0024130344390869,0.0004749298095703,3.1948089599609375e-05,1.1205673217773438e-05,0.0001399517059326,0.0007140636444091,0.0001349449157714,66,514,1,,,,,,,,,
6,10,4,0.0007181167602539,1.0967254638671877e-05,1,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0070528984069824,0.0002791881561279,2.193450927734375e-05,2.5033950805664062e-05,0.0006189346313476,9.918212890625e-05,0.0026419162750244,66,66,1,,,,,,,,,
6,10,4,0.0015850067138671,1.1205673217773438e-05,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0072550773620605,0.0004069805145263,2.694129943847656e-05,1.1205673217773438e-05,0.0012898445129394,0.0002951622009277,0.0032298564910888,66,66,1,,,,,,,,,
6,10,4,0.0014591217041015,9.059906005859377e-06,0,66,583.0,66,1414.0,823.3333333333334,12.639972496032716,12.638208389282228,12.639972496032716,0,10,0,0,0,10,0.0,0.0069539546966552,0.0004761219024658,1.9073486328125e-05,2.288818359375e-05,0.0012130737304687,0.0002460479736328,0.0026788711547851,66,66,1,,,,,,,,,
